 Calibration of amptek channel to energy (20 Aug 2014) A=-0.29036  B=0.00568913  (egy = A + B * chan_num)
 43 Tc  K 21044.00 18367.10 18250.80      .00      .00      .00  2293.20  2289.90 17630.27 18991.58 20544.00 20994.00 21094.00 21544.00  3 25544.00      .00
 43 Tc  L      .00      .00      .00  3043.00  2793.00  2677.00  2424.00  2424.00  2341.58  2506.42  2177.00  2627.00  2727.00  3177.00  2      .00  3543.00
 44 Ru  K 22117.00 19279.20 19150.40      .00      .00      .00  2424.00  2424.00 18499.29 19934.69 21617.00 22067.00 22167.00 22617.00  3 26617.00      .00
 44 Ru  L      .00      .00      .00  3224.00  2967.00  2838.00  2558.60  2554.30  2467.45  2645.59  2338.00  2788.00  2888.00  3338.00  2      .00  3724.00
 45 Rh  K 23220.00 20216.10 20073.70      .00      .00      .00  2558.60  2554.30 19391.19 20903.45 22720.00 23170.00 23270.00 23720.00  3 27720.00      .00
 45 Rh  L      .00      .00      .00  3412.00  3146.00  3004.00  2696.70  2692.10  2600.57  2788.39  2504.00  2954.00  3054.00  3504.00  2      .00  3912.00
 46 Pd  K 24350.00 21177.10 21020.10      .00      .00      .00  2696.70  2692.10 20305.42 21897.12 23850.00 24300.00 24400.00 24850.00  3 28850.00      .00
 46 Pd  L      .00      .00      .00  3604.00  3330.00  3173.00  2838.60  2833.30  2736.97  2935.11  2673.00  3123.00  3223.00  3673.00  2      .00  4104.00
 47 Ag  K 25514.00 22162.90 21990.30      .00      .00      .00  2838.60  2833.30 21242.63 22916.44 25014.00 25464.00 25564.00 26014.00  3 30014.00      .00
 47 Ag  L      .00      .00      .00  3806.00  3524.00  3351.00  2984.30  2978.20  2876.94  3085.77  2851.00  3301.00  3401.00  3851.00  2      .00  4306.00
 48 Cd  K 26711.00 23173.60 22984.10      .00      .00      .00  2984.30  2978.20 22202.64 23961.50 26211.00 26661.00 26761.00 27211.00  3 31211.00      .00
